first_name	last_name	sessioon	sessiooniettepanek	contribution_type (registreerimisvormil)	tasu laekunud	vastas piletite küsimusele	ajasoovid	contribution_title	contribution_coauthors	contribution_abstract
Pierre-Philippe	Dechant	talkGeometry	representation theory, different applications	talk	Yes	Coming		Platonic solids generate their four-dimensional analogues		We show how regular convex 4-polytopes – the analogues of the Platonic solids in four dimensions – can be constructed from three-dimensional considerations concerning the Platonic solids alone. Via the Cartan–Dieudonne theorem, the reflective symmetries of the Platonic solids generate rotations. In a Clifford algebra framework, the space of spinors generating such three-dimensional rotations has a natural four-dimensional Euclidean structure. The spinors arising from the Platonic solids can thus in turn be interpreted as vertices in four-dimensional space, giving a simple construction of the four-dimensional polytopes 16-cell, 24-cell, the F4 root system and the 600-cell. In particular, these polytopes have ‘mysterious’ symmetries, that are almost trivial when seen from the three-dimensional spinorial point of view. In fact, all these induced polytopes are also known to be root systems and thus generate rank-4 Coxeter groups, which can be shown to be a general property of the spinor construction. These considerations thus also apply to other root systems such as A1⊕I2(n) which induces I2(n)⊕I2(n), explaining the existence of the grand antiprism and the snub 24-cell, as well as their automorphism symmetries. These results are discussed in the wider mathematical context of Arnold’s trinities and the McKay correspondence. These results are thus a novel link between the geometries of three and four dimensions, with interesting potential applications on both sides of the correspondence, to real three-dimensional systems with polyhedral symmetries such as (quasi)crystals, viruses and carbon onions, as well as four-dimensional geometries arising for instance in Grand Unified Theories and String and M-theory.
Jaroslav	Hrdina	talkGeometry	differential geometry	talk				Geometry of almost Cliffordian manifolds		We deals with Clifford algebras and geometric structures over them. Motivated by the fact that the choice of the projective structure corresponds to the choice of the class of connections sharing geodesics and the choice of "complex" projective structure corresponds to the choice of connections sharing the $J$-planar curves, we define the projective $A$-structures as $A$-structures together with the choice of connection class sharing $A$-planar curves. If $A$ is a Clifford algebra, we obtain a class of so called Cliffordian projective structures.
Rimvydas	Krasauskas	talkGeometry	geometry, application in chemistry	talk	Yes	Coming		Clifford-Bezier parametrization of Dupin cyclide patches with applications to molecular surface modeling 	Severinas Zubė, Vytautas Karpavičius, Kliment Olechnovič	Dupin cyclides are surfaces whose curvature lines are circles or straight lines. We use rational Bezier formulas with Clifford algebra weights for parametrization of principal Dupin cyclide patches. Several well known and several new geometric properties of Dupin cyclides are derived using this approach. As an example of application we present construction of surfaces for visualizing voids and channels in large biomolecules (treated as the union of Van der Waals balls). 
Yue	Liu	talkAlgebra	algebra, computational geometry	talk		Coming	not Aug 9 (leaves Tartu Aug 9, 8:30 in the morning)	Basis-Free Quaternionic or Clifford Polynomial Manipulations: Mathematical Completeness 	Hongbo Li, Lei Huang, Shoubin Yao, Ge Li	In geometric computing, directions, lines, spheres, etc. may be represented by single vector variables, and symbolic manipulations of these variables may not resort to their explicit coordinate forms. This raises the following question: if a geometric conclusion can be derived from the coordinate forms of the variables, is it always true that the conclusion is derivable from some coordinate-free manipulations of the variables in coordinate-free form? If so, how to derive them in the latter approach? This is the mathematical completeness problem that must be answered by any coordinate-free symbolic algebraic system to be used in geometric computing. This talk introduces our recent work started in 2013 on the the mathematical completeness of basis-free (hence coordinate-free) symbolic manipulations of quaternionic polynomials in quaternionic variables, and of Clifford polynomials in vector variables taking values in a general 3D non-degenerate inner-product space. By now some striking results have been obtained. The conclusions are rather simple to describe, but the proofs are highly complicated. 
Patrice	Ntumba	talkAlgebra	sheafs, general topology, algebra	talk	Yes	Coming		Filtered Clifford A-algebras and orthogonal sums	B. Yizengaw	In this talk, given an algebra sheaf A on a topological space X, we introduce sheaves of Clifford A-algebras (\textit{Clifford A-algebras,} for short) on X associated with arbitrary quadratic A-modules as quotient sheaves of tensor algebra sheaves over certain ideal sheaves. We also study two main A-isomorphisms of Clifford A-algebras: \textit{the main involution} and \textit{the anti-involution A-isomorphisms.} Finally, we give a definition for \textit{the natural filtration of Clifford A-algebras} and show that for every A-algebra sheaf E, endowed with a regular filtration, one obtains a new graded A-algebra sheaf, denoted Gr(E), which turns out to be A-isomorphic to E.
Zbigniew	Oziewicz	talkAlgebra	algebra	talk	Yes			Clifford algebra is the Frobenius algebra		1. Frobenius algebra include semi-simple Lie algebras from non-associative variety, and Clifford algebras from associative variety. I consider Frobenius forms (covectors) for Clifford algebra, review various equivalent definitions, look at a manifold of Grassmann and Clifford coalgebras defined as graphical camels in terms of various Frobenius structures, and illustrate on examples of Clifford algebras.
Md	Raknuzzaman	talkTernary								
Bernd Anton	Schmeikal	notComing	algebra, geometric algebra	talk		Not coming		Iteration of Clifford Algebra		Abstract: An eightfold path leads to the historic objects of quaternions, that is, fourdimensional real algebras of hypercomplex numbers that involve a triple of magnitudes {i, j, k} with eight possible signatures. Picking up an observation of Gerhard Opfer, Sprössig and me specified an idea which aimed at the derivation of the eight historic algebras, quaternions, coquaternions, tessarines, cotessarines and the four remaining ones from a fundamental mother algebra. This idea turned out to lead on, and we could show that these basic modules of analysis, being subalgebras of the Clifford algebra of Minkowski space could be traced back to the mother algebra of cotessarines, by an algebraic method of iteration originally introduced into discrete physics by Louis Kauffman. Extending this procedure over all associative Clifford algebras it can be shown that these can be represented as ‘iterant algebras’. Algebraically this refers to semidirect products of permutation symmetries with basic sets of binary sequences. Phenomenologicly we are actually iterating the structure of a Clifford algebra. As the iteration represents a temporal or ‘diachronic’ process whereas the geometric structure is a synchronous object, we are indeed dealing with the linguistic duality of diachronic versus synchronous. In this way an apparently synchronous geometric structure of space and time can be understood as a temporally built up entity of a process. In this talk it is shown how this goes.
Dmitry	Shirokov	talkAlgebra	algebra, Yang-Mills?	talk		Coming		The method of contractions in Clifford algebras		We consider real and complex Clifford algebras Cℓ(p,q) with fixed basis {eA} where A is multi-index A∈I={−,1,…,n,12,13,…,1…n}. For any element U∈Cℓ(p,q) we study expressions (contractions) ∑A∈SeAUeA for different S⊆I. We present the relation between contractions and projection operators onto fixed subspaces of Clifford algebra. We present solutions of commutator system of equations eAX+ϵXeA=qA,∀A∈S,ϵ∈C for unknown X∈Cℓ(p,q). Also we consider generalized contractions ∑A∈SγAUβA,S⊆I for two different bases {γA}, {βA}. With the aid of these contractions we present formulas for element T such that γa=JT−1βaT,a=1,…,n,J=±e,±e1…n,±ie1…n. The method of contractions allow us to give solution of ''the simplest'' field equation in the pseudo-euclidian space and to present the new class of gauge-invariant solutions of the Yang-Mills equtions. 
John	Snygg	talkGeometry	history, geometry	talk	Yes	Coming	(leaving flight Aug 9, 5:55)	Martin Bartels		
Wolfgang	Sproessig	nothing		talk	Yes			later		
Alexandre	Trovon de Carvalho	talkTernary	algebra, ternary algebras	talk	Yes	Coming		Galois Theory for Clifford Analysis and Applications to Quark Physics	O. Suzuki	In this talk we introduce the idea of Galois extension for an associative algebra and show how binary and ternary algebras can be described by such an algebraic construction. Special attention is devoted to Grassmann and Clifford algebras where the binary and ternary structures emerge from Galois Extensions. Galois groups are also considered but, unlike field extensions, these will be continuous groups. Gauge invariance is also discussed in terms of Galois group of extensions. The particular ternary structure of Nonion algebra is described by means of Galois extensions, revealing the continuous Z3 structure of Galois group. Ternary versions of Klein-Gordon and Dirac operators are discussed and quark models are constructed by use of Galois extensions.
Kelvyn	Brito	talkPhysics	supersymmetry. SM workshop?	talk		Coming		The non-anticommutative supersymmetric Wess-Zumino model		One introduces a deformation in the superspace through the anticommutation between parameters that are transformed from a Grassmann algebra into a Clifford algebra. After this, one analizes the deformation in the Wess-Zumino Lagrangian, searching for new interaction terms. 
Rogerio	Cavalcanti	talkPhysics	field theory, dark matter. SM workshop?	talk		Coming		VSR symmetries in the DKP algebra: the interplay between Dirac and Elko spinor fields	J. M. Hoff da Silva and Roldão da Rocha	VSR symmetries are here naturally incorporated in the DKP algebra on the spin-0 and the spin-1 DKP sectors. We show that the Elko (dark) spinor fields structure play an essential role on accomplishing this aim, unravelling hidden symmetries on the bosonic DKP fields, which manifest the intrinsic VSR symmetries of Elko fields. 
Vladimir	Dzhunushaliev	talkPhysics	supersymmetry	talk		Coming	Aug 5 or Aug 7 (arrival Aug 4, 17:20, departure Aug 8, 15:25)	Nonassociatuve generalization of supersymmetry 		We consider a nonassociative generalization of supersymmetry: supersymmetry generators as nonassociative ones are considered. Associators for the product of three and four multipliers are defined. It is shown that using a special choice of parameters the associator of the product of four supersymmetry generators is connected with the angular momentum operator. The connection of operators decomposition with the hidden variables theory and alternative quantum mechanics is discussed.
Valeriy	Dvoeglazov	talkPhysics	electromagnetism, general relativity	talk	Yes	Coming	not Aug 9 (leaving flight Aug 9 6:05)	Energy-Momentum Tensor in Electromagnetic Theory and Gravitation from Relativistic Quantum Equations		We analyze the problems of definitions of the energy-momentum tensors in the electromagnetic theory and the general relativity. The Bargmann-Wigner formalism has been used for higher spins. It is based on the Dirac equations for high-rank 4-spinors. We compare our results with those obtained by the group of Acad. Logunov and Prof. Khrapko. The conclusion is that it is possible to define the energy-momentum tensor compatible with the Noether theorem in any relativistic theory, in self-consistent ways. Different opinions presented in articles and books have been discussed. Possible methods of experimental verification have been proposed. 
Anthony	Lasenby	talkPhysics	gravity	talk	Yes	Coming		f(R) theories and Gauge Theory Gravity		We consider a `Gauge Theory of Gravity' approach to f(R) theories. These theories, where the gravitational part of the Lagrangian is generalised to a general function, f(R) of the Ricci scalar, have over recent years become very popular as possible theories of modified gravity, and have been applied to explanations of both Dark Energy and Dark Matter. Two different variants exist, one based on a purely metric approach, and the other, `Palatini f(R) theory', where the equations are derived via treating the connection as an independent entity, and there has been considerable discussion over which of these approaches should be adopted, and which, if either, is compatible with the observations. In Gauge Theory Gravity, which is based on the Geometric Algebra of spacetime, relativistic gravity is treated as much as possible as a gauge theory like others, and the independent variables are derived from local symmetry principles. This means the route through to the equations of motion is fixed once the Lagrangian is specified, and one can be certain what the conclusions of the theory are for a given Lagrangian. We apply this approach to f(R) theories and find that Palatini-type variational equations are favoured, although with torsion being inevitable as well. However, the torsion is found to be of a type that does not directly affect the equations of motion for particles and fields, entering only via its indirect effects on the metric. A particular popular choice of f(R) aimed at giving late-time acceleration of the Universe is then investigated, and it is found that while it succeeds in its cosmological purpose, it has surprising effects both on the dark energy equation of state and the rotation curves of galaxies.
WALDYR	RODRIGUES	talkPhysics	physics, field theory, differential geometry	talkStandardModel	Yes	Coming		Notes on Conservation Laws, Equations of Motion of Matter Fields, Lie Derivative of Spinor Fields in Lorentzian and Teleparallel de Sitter Spacetime Structures		In this paper we discuss the physics of interacting tensor (and spinor fields) and particles living in a de Sitter manifold M=S0(1,4)/S0(1,3)≃R×S³ interpreted as a submanifold of M=R⁵,g), with g a metric of signature (1,4). The pair (M,g) where g is the pullback metric of g (g=i^{∗}g) is Lorentzian manifold that is oriented by τ_{g} and time oriented by ↑. It is the structure (M,g,τ_{g},↑) that is primely used to study the energy-momentum conservation law for a system of physical fields living in M and the true equation of motion for free particles that can be derived using Papapetrou's method. To achieve our objectives we construct two different de Sitter spacetime structures M^{dSL}=(M,g,D,τ_{g},↑) and M^{dSTP}=(M,g,∇,τ_{g},↑), where D is the Levi-Civita connection of g and ∇ is a metric compatible parallel connection. Both connections are introduced in our study only as mathematical devices, no special physical meaning is attributed to these objects. In particular M^{dSL} is not supposed to be the model of any gravitational field in the General Relativity Theory (GRT). Our approach permit to clarify some odd misconceptions appearing in the literature. Our paper also deals with the delicate question of defining a meaningful Lie derivative for spinor fields in (M,g) and we claim to have a a geometrical based definition not involving any covariant derivative and which differs from Kosmann's formula.The paper makes use of the Clifford bundle formalism recalled in one of the appendices, something needed for a nice presentation of the concept of a Komar current J_{A} (in GRT) associated to any vector field A generating a one parameter group of diffeomorphisms . The explicit formula for J_{A} in terms of the energy-momentum tensor of the fields and its physical meaning is given. Besides that we show how F=dA (A=g(A, ) satisfy a Maxwell like equation ∂F=J_{A} which encodes the contents of Einstein equation.
MURAT	TANISLI	talkPhysics	algebra, electromagnetism	talk		Coming	Aug 5	ELECTROMAGNETIC ENERGY CONSERVATION WITH OCTON	TULAY TOLAN, SULEYMAN DEMIR	The electromagnetic energy conservation with magnetic monopole in terms of a new algebraic structure named as octon is written. It is known that octons generated from the Clifford algebras by Mironov and Mironov, are a new algebraic structure consisting of four parts as scalar, pseudoscalar, vector and pseudovector and its algebra is associative non-commutative just like quaternions and Pauli algebra. Pauli algebra is the Clifford algebra built on the three basis vectors, which represented by complex quaternions of three-dimensional Euclidean space. Octon algebra can be considered as the variant of complexified Clifford algebra. However, its unit vectors a1, a2, a3 and e1, e2, e3 are real true vectors but not complex numbers. In literature, the octon’s geometrical representations have a clear well-defined geometric interpretation. Here we emphasize once again that octons consist of real scalar and vectors but not hypercomplex numbers, and they are very convenient for physical calculations and symmetry analysis. The imaginary unit in multiplication rules is due to the possibility of Clifford product. Vector (Heaviside-Gibbs) algebra is different from Clifford algebra. Octons have very clear scalar-vector interpretation. The main advantage of octons is pseudoscalar unit a0, which allows one to take into account the symmetry of different physical vectors in accordance with spatial inversion. This is very important from the point of physical applications.
Ott	Vilson	talkPhysics								
Swanhild	Bernstein	talkAnalysis		talkAnalysis	Yes	Coming		Riesz transforms in image processing and optics	Bettina Heise, Martin Reinhardt	Riesz transforms play an essential role in image processing and optics. On one hand the are the building blocks of monogenic signals and on the other hand the also can be used as an substitue (in some sense) of derivatives in imaging and image processing. In this talk we would like to highlight the role of the Riesz transforms, fractional Riesz transforms and some fractional-type monogenic signals. These generalizations are based on quaternionic and Clifford calculus. 
Isabel	Cacao	talkAnalysis		talkAnalysis	Yes	Coming		Quaternionic Zernike Spherical Polynomials	João Morais, CIDMA, University of Aveiro, Portugal	The so-called Zernike polynomials (ZPs) were introduced by F. Zernike's Nobel prize in 1934 in connection to diffraction theory. They are constituted by the product of radial polynomials by a pair of trigonometric functions (sine and cosine) and they form a complete set of orthogonal polynomials over the unit circle. Since their appearance, a significant number of publications describing various applications of the ZPs have emerged, mainly in optical engineering. They seem to be well-adapted to corneal surface modeling and they are commonly used to describe balanced aberrations. In this talk, we introduce the Zernike spherical polynomials within quaternionic analysis extending the classical two dimensional ZPs to dimension 3 or 4 in the quaternion algebra's framework. The representation of these functions in terms of spherical monogenics over the unit sphere are explicitly given, from which several recurrence formulae for faster computations can be derived. A summary of their fundamental properties and a second order differential equation are also discussed. 
Paula	Cerejeiras	talkAnalysis		talkAnalysis	Yes			tba		later
Lander	Cnudde	talkAnalysis		talkAnalysis	Yes	Coming		Slice monogenic functions: algebraic approach and associated Clifford-Fourier transform	Hendrik De Bie, Guangbin Ren	In recent years, the study of slice monogenic functions has attracted more and more attention in the literature. In this talk, an extension of the well-known Dirac operator is defined which allows to establish the Lie superalgebra structure behind the theory of slice monogenic functions. According to this slice Dirac operator, an inner product is defined on a corresponding function space. Based on the polynomial null-solutions of this differential operator, an analogue to the classical Hermite polynomials is constructed. Together with the inner product, these polynomials allow for the construction of orthogonal and normalised Clifford-Hermite functions. Being analogues of the classical Hermite functions, they can be seen as eigenfunctions of a Clifford-Fourier transform. Corresponding to the Mehler formula in classical Fourier transform theory, a Mehler kernel is found for this Clifford-Fourier transform and its differential properties are investigated. The similarities between these properties and the differential properties of the classical Fourier kernel evoke a closer study of the solutions of the corresponding partial differential equation.
Fabrizio	Colombo	talkAnalysis		talkAnalysis	Yes	Coming		Some results on the F-functional calculus		In this talk we introduce the two possible formulations of the F-functional calculus which are based on the Fueter-Sce mapping theorem in integral form. In the case of dimension 3 we show that there exists the F-resolvent equation and we study the analogue of the Riesz projectors associated with this calculus. Moreover, we show that it is possible to define this calculus also for n-tuples of unbounded operators and we obtain an integral representation formula analogous to the one of the Riesz-Dunford functional calculus for unbounded operators acting on a complex Banach space.
Hendrik	De Bie	talkAnalysis		talkAnalysis	Yes	Coming		The kernel of the Dunkl Dirac operator as a module for the Bannai-Ito algebra	Vincent Genest, Luc Vinet	In this talk I will discuss how the CK or Cauchy-Kowalewska extension procedure can be developed for the Dunkl Dirac operator related to the reflection group (Z2)m. This will be used to construct an explicit basis for the kernel in dimension three, expressed in terms of Jacobi polynomials. In turn, by determining the symmetries of the Dunkl Dirac operator in dimension three, we obtain an unexpected connection with the Bannai-Ito algebra and with a scalar operator that also factorizes the Dunkl Laplacian. A detailed comparison will be given between the two approaches. 
Hilde	De Ridder	talkAnalysis		talkAnalysis	Yes	Coming		Fueter's theorem in discrete Clifford analysis	F. Sommen	In 1935, R. Fueter described in his paper [1] a technique to obtain monogenic quaternionic functions, starting from a holomorphic function in the upper half of the complex plane. This classical result was later generalized to R0,m for m odd by Sce [2], for m even by [3] and by Sommen in [4]: if m is an odd positive integer and Pk(x−) is a homogeneous monogenic polynomial of degree k in Rm, then Δk+m−12x[(u(x0,r)+ω−v(x0,r))Pk(x−)] is also monogenic in Ω˜. In this presentation, we consider a discretization of Sommen's result to the setting of (hermitean) discrete Clifford analysis in even dimension: starting from a discrete monogenic function in Z2, we will construct monogenic functions on Zm. [1] R. Fueter, Die funktionentheorie der Differentialgleichungen Δu=0 und ΔΔu=0 mit vier variablen, Comm. Math. Helv. 7 (1935), pp. 307-330. [2] M. Sce, Osservazioni sulle serie di potenze nei moduli quadratici, Atti Accad. Naz. Lincei. Rend. Cl. Sci. Fis. Mat. Nat. (8) 23, 1957, pp. 220-225. [3] K. I. Kou and T. Qian and F. Sommen, Generalizations of Fueter's theorem, Methods Appl. Anal. 9 no. 2, 2002, pp. 273-289. [4] F. Sommen, On a generalization of Fueter's theorem, Z.Anal. Anwendungen 19 no.4, 2000, pp. 899-902. 
Antonio 	Di Teodoro	talkAnalysis		talkAnalysis		Coming	Not Aug 4, not Aug 5? (arrives in Tartu Aug 5 at 3pm, leaves on Aug 10)	Necessary and Sufficient Conditions for Associated q-generalized Differential Operators in Quaternionic Analysis and Applications to Initial Value Problems	Adrian infante	In the present proposal we consider the initial value problems of type ∂ω∂t=Lω=∑i=03A(i)(t,x)∂ω∂xi+B(t,x)ω+C(t,x)ω(0,x)=Ψ(x) in the space of q-generalized regular functions in the sense of Quaternionic Analysis satisfying the differential equation D=∑j=03qj[ej∂j−λj] where t∈[0,T] is the time variable, x runs in a bounded and simply connected domain in R4, the qi are considered real functions and λi are considered constants. We prove necessary and sufficient conditions on the coefficients of the operator L under which L is associated with the operator D. This criterion makes it possible to construct operators L for which the initial value problem is uniquely soluble for an arbitrary initial q-generalized regular function Ψ(x) by the method of associated spaces constructed by W. Tutschke (Teubner Leipzig and Springer Verlag, 1989) and the solution is also q-generalized regular for each t. 
Sirkka-Liisa 	Eriksson	talkAnalysis		talkAnalysis	Yes	Coming		Cauchy type integral formulas for k-hypermonogenic functions	Heikki Orelma	Our aim is to build a function theory based on hyperbolic metric of the Poincare upper half space model and Clifford numbers. We consider harmonic functions with respect to the Laplace-Beltrami operator of the Riemannian metric ds2=x−2kn−12(∑ni=0dx2i) and their function theory in Rn+1. H. Leutwiler in 1992 discovered that the power function, calculated using the Clifford product, is a conjugate gradient of a harmonic function with respect to the hyperbolic metric. He started to research these type of functions, called H-solutions, satisfying a modified Dirac equation, connected to the hyperbolic metric. All usual trigonometric and exponential functions have a natural extensions to H-solutions. S.-L. Eriksson and H. Leutwiler, extended H-solutions to total algebra valued functions, called hypermonogenic functions. We study generalized hypermonogenic functions, called k−hypermonogenic functions. For example the function |x|k−n+1x−1 is k-hypermonogenic. Note that 0-hypermonogenic are monogenic and n−1 -hypermonogenic functions are hypermonogenic We verify the Cauchy type integral formulas for k-hypermonogenic functions where the kernels are calculated using the hyperbolic distance of the Poincare upper half space model. There formulas are different in even and odd cases. Earlier these results have been proved for hypermonogenic functions. The coauthor of the work is Heikki Orelma, Tampere University of Technology. 
Dmitrii	Legatiuk	talkAnalysis		talkAnalysis	Yes	Coming		Theoretical aspects of coupling of function theoretic methods and finite element method	Klaus Gürlebeck	In this talk is to present important steps in a process of coupling of an analytical solution with the finite element method. Based on previous results we summarize a theory of such coupling. We present the goal of the coupling, and we describe the procedure which assures a continuous coupling between two solutions. Finally, we show results about the convergence of the proposed mixed scheme. We start by developing a theory for two-dimensional problems of linear elastic fracture mechanics, and in the end we present a concept for a generalisation of the proposed method to spatial problems.
Paul	Leopardi	talkAnalysis		talkAnalysis	Yes	Coming	Not Aug 9 (bus from Tartu to Tallinn will leave Aug 9, 10:00)	The abstract Hodge-Dirac operator and its stable discretization	Ari Stern, WUSTL	We adapt the techniques of finite element exterior calculus to study and discretize the abstract Hodge-Dirac operator, which is a square root of the abstract Hodge-Laplace operator considered by Arnold, Falk, and Winther (2010). We give a priori stability and convergence estimates, and show that several of the results in finite element exterior calculus can be recovered as corollaries of these new estimates. See the preprint arXiv:1401.1576 [math.NA] for details.
Helmuth	Malonek	talkAnalysis	analysis, geometric algebra	talk	Yes	Coming		Recurrence formulae for sequences of monogenic polynomials 	Isabel Cação and Irene Falcão	Based on the general matrix approach to special monogenic polynomial sequences in arbitrary dimensions (cf. CMFT, vol. 12 (2012), No. 2, 371-391) we present several recurrence formulae for orthogonal monogenic polynomials in the kernel of the generalized Cauchy-Riemann operator. This includes also a detailed analysis of the involved matrices and combinatorial relationships between the structural constants of homogeneous monogenic polynomials.
Heikki	Orelma	talkAnalysis		talkAnalysis	Yes			Vekua systems in Hyperbolic Harmonic Analysis		We consider the solutions of the equation Mκf=0, where Mκ is the so called modifier Dirac operator acting on functions f defined in the upper half space and taking values in the Clifford algebra. We look for solutions f(x−,xn) where the first variable is invariant under rotations. A special type of solution is generated by the so called spherical monogenic functions. These solutions may be characterize by a vekua-type system and this system may be solved using Bessel functions. We will see that the solution of the equation Mκf=0 in this case will be a product of Bessel functions.
Roy	Oste	talkAnalysis		talkAnalysis	Yes	Coming		Unique characterization of the Fourier transform and generalized transforms	Hendrik De Bie, Joris Van der Jeugt	The Fourier transform (FT) is of crucial importance in a whole range of areas such as harmonic analysis and signal processing as it has many interesting properties. A natural question is: Which properties are sufficient to uniquely characterize the FT? Additionally, given a specific set of properties of the FT, one can inquire whether there are any other transforms that satisfy these properties. In order to answer these questions, we work in the framework of representation theory of the Lie algebra sl2, and its refinement the Lie superalgebra osp(1|2). This natural generalization brings us to the setting of Clifford analysis, where we obtain generalized Fourier transforms that act on functions taking values in a Clifford algebra.
Dixan 	Peña Peña	talkAnalysis		talkAnalysis		Coming	Not Aug 8 and Aug 9 (leaving Aug 8, 11:30 from Tartu Ülenurme Airport)	Special functions and systems in Hermitian Clifford analysis	Nele De Schepper and Frank Sommen	In this talk, we present some new special functions that arise naturally within the framework of Hermitian Clifford analysis, which concerns the study of Dirac-like systems in several complex variables. In particular, we focus on Hermite polynomials, Bessel functions, and generalized powers. We also derive a Vekua-type system for solutions of Hermitian systems in axially symmetric domains.
Matthias	Roels	talkAnalysis		talkAnalysis	Yes			Scalar higher spin operators in Clifford analysis	David Eelbode, Hendrik De Bie	Clifford analysis has become a branch of multi-dimensional analysis in which far-reaching generalisations of the classical Cauchy-Riemann operator in complex analysis are studied from a function theoretical point of view. Without claiming completeness, one could say that the theory focuses on first-order conformally invariant operators acting on functions taking values in irreducible representations for the spin group. This then leads to function theories refining (poly-)harmonic analysis on Rm. In this talk we will explain how to extend these results to a certain class of second-order conformally invariant operators, leading to analogues of the Rarita-Schwinger function theory for functions taking values in the space of harmonics (at the same time generalising classical harmonic analysis for the Laplace operator). After a brief introduction to some notions of differential geometry, we will give a detailed description on how to define and construct this class of operators. As some equations of motion that often appear in physics are expressed in terms of these operators, we will explain how to translate our notation to the tensor notation used by physicists. Finally, some function theoretical results that were already obtained or are under construction will be discussed.
